name,descript,eval_link
DAHW Deutsche Lepra- und Tuberkulosehilfe e.V.,Die DAHW Deutsche Lepra- und Tuberkulosehilfe fördert Projekte und Programme zur Bekämpfung von Lepra und Tuberkulose weltweit. Die räumlichen Arbeitsschwerpunkte liegen in Asien sowie in …,https://www.dzi.de/organisation/dahw-deutsche-lepra-und-tuberkulosehilfe-e-v/
Das Hunger Projekt e.V.,"Das Hunger Projekt ist ein globales Netzwerk in 23 Ländern, das sich seit 1977 für die nachhaltige Überwindung des chronischen Hungers einsetzt, und von der …",https://www.dzi.de/organisation/das-hunger-projekt-e-v/
Der Kleine Nazareno – Verein für Gerechtigkeit und Menschenwürde in Brasilien e.V.,"Der Kleine Nazareno – Verein für Gerechtigkeit und Menschenwürde in Brasilien e.V. unterstützt die Arbeit mit Straßenkindern in Fortaleza, Recife und Manaus, Brasilien, sowie die …",https://www.dzi.de/organisation/der-kleine-nazareno-verein-fuer-gerechtigkeit-und-menschenwuerde-in-brasilien-e-v/
Der weisse Hof e.V.,,https://www.dzi.de/organisation/der-weisse-hof-e-v/
DESWOS Deutsche Entwicklungshilfe für soziales Wohnungs- und Siedlungswesen e.V.,"DESWOS setzt sich weltweit für menschenwürdige Wohn- und Lebensbedingungen ein und gibt Not leidenden Menschen ein menschenwürdiges Zuhause, sichert ihre Existenz und bietet eine Chance …",https://www.dzi.de/organisation/deswos-deutsche-entwicklungshilfe-fuer-soziales-wohnungs-und-siedlungswesen-e-v/
Deutsch-Indisches Kinderhilfswerk e.V.,,https://www.dzi.de/organisation/deutsch-indisches-kinderhilfswerk-e-v/
Deutsche AIDS-Stiftung,Die Deutsche AIDS-Stiftung klärt über HIV und Aids auf und unterstützt im In- und Ausland Projekte für von HIV und Aids betroffene Menschen. Sie leistet …,https://www.dzi.de/organisation/deutsche-aids-stiftung/
Deutsche Cleft Kinderhilfe e.V.,Der Verein finanziert die Operation und Behandlung von Kindern mit Lippen-Kiefer-Gaumenspalten und anderen kraniofazialen Anomalien und Defekten. Neben der Durchführung der Basisoperationen werden je nach …,https://www.dzi.de/organisation/deutsche-cleft-kinderhilfe-e-v/
Deutsche Gesellschaft zur Rettung Schiffbrüchiger,Die Deutsche Gesellschaft zur Rettung Schiffbrüchiger (DGzRS) rettet an der deutschen Nord- und Ostseeküste Menschen aus Seenot und gefährlichen Situationen. Im Jahr 1982 hat der …,https://www.dzi.de/organisation/deutsche-gesellschaft-zur-rettung-schiffbruechiger/
Deutsche Herzstiftung e.V.,Die Aufklärung über Herz-Kreislauf-Erkrankungen und die Vorbeugung dieser gehören zu den Hauptaufgaben der Deutschen Herzstiftung. So erstellt und versendet der Verein zum Beispiel Informationsmaterialien für …,https://www.dzi.de/organisation/deutsche-herzstiftung-e-v/
Deutsche José Carreras Leukämie-Stiftung e.V.,"Die Fördermaßnahmen des Deutschen José Carreras Leukämie-Stiftung e.V. bzw. der Deutschen José Carreras Leukämie-Stiftung, die der Verein maßgeblich unterstützt, bestehen insbesondere in der Erforschung und …",https://www.dzi.de/organisation/deutsche-jose-carreras-leukaemie-stiftung-e-v/
Deutsche KinderhospizSTIFTUNG,"Zweck der Deutschen KinderhospizSTIFTUNG ist die bundesweite Förderung der Kinderhospizarbeit. Dabei unterstützt sie insbesondere die Arbeit des Deutschen Kinderhospizvereins e.V., Olpe. Dieser betreut, berät und …",https://www.dzi.de/organisation/deutsche-kinderhospizstiftung/
Deutsche Kinderkrebsstiftung,"Die Deutsche Kinderkrebsstiftung (DKS) setzt sich dafür ein, dass krebskranke Kinder wieder gesund werden können und in ihrer Lebensqualität und ihren Zukunftschancen anderen Kindern nicht …",https://www.dzi.de/organisation/deutsche-kinderkrebsstiftung/
